No,Student ID,Last name,First name,Gender,Date of Birth,Social ID
1,20126001,Phan Hanh,An,Male,09/06/2002,404116192
2,20126003,Tran Quang,Minh,Female,18/05/2002,471135080
3,20126009,Tu Khanh,Duy,Male,26/08/2002,468076989
4,20126010,Nguyen Thi My,Duyen,Female,23/04/2002,400801557
5,20126012,Tran Ngoc Thu,Giang,Male,14/05/2002,445991904
6,20126016,Pham Quang,Huy,Female,09/11/2002,450791430
7,20126018,Huynh Gia,Khiem,Male,15/10/2002,418479362
8,20126019,Pham Ho Minh,Khue,Female,14/12/2002,462898019
9,20126020,Pham Van,Loc,Female,30/01/2002,419128257
10,20126021,Le Viet,Luc,Male,26/10/2002,383857373
11,20126023,Duong Dinh,Phuc,Male,12/04/2002,462914842
12,20126024,Phan Dinh Anh,Quan,Male,30/11/2002,381147417
13,20126025,Tran Minh,Quan,Female,29/03/2002,397719588
14,20126029,Tran Dao Xuan,Tri,Female,23/09/2002,416395566
15,20126030,Tran Tat,Tri,Female,17/10/2002,416460512
16,20126031,Ha Thi Thanh,Tu,Female,28/12/2002,437079917
17,20126034,Nguyen Van,Chinh,Male,04/04/2002,452258856
18,20126036,Pham Thai,Duong,Male,03/08/2002,386644627
19,20126037,Nguyen Tran Anh,Duy,Female,04/01/2002,413951757
20,20126038,Nguyen Ho Trung,Hieu,Male,20/02/2002,447049348
21,20126039,Tran Thien,Khiem,Female,10/06/2002,404833042
22,20126040,Le Da,Khoa,Female,16/03/2002,386872978
23,20126041,Nguyen Huynh,Man,Male,25/09/2002,433352055
24,20126042,Nguyen Thien,Minh,Male,09/06/2002,427561713
25,20126044,Nguyen Cuong,Nam,Male,25/09/2002,374792960
26,20126045,Vu Hoai,Nam,Female,26/07/2002,463847300
27,20126046,Doan Van,Nghi,Female,29/01/2002,447706568
28,20126047,Luu Minh,Nhat,Female,29/05/2002,409991794
29,20126048,Nguyen Mong Thanh,Nhi,Male,21/06/2002,422049562
30,20126049,Nguyen Thanh,Nhon,Female,14/07/2002,414767948
31,20126050,Ngo Thi Hoang,Oanh,Male,28/10/2002,388274408
32,20126051,Nguyen Quoc,Phat,Female,14/05/2002,385997326
33,20126053,Truong Tan,Phong,Female,16/08/2002,442394421
34,20126054,Cao Minh,Quang,Male,02/08/2002,380930193
35,20126055,Truong Kim,Tan,Female,04/07/2002,465209483
36,20126056,Truong Do Truong,Thinh,Female,24/04/2002,467461210
37,20126057,Nguyen Tran Minh,Thu,Male,06/12/2002,422979140
38,20126058,Pham Ngoc Anh,Thu,Male,16/09/2002,418381870
39,20126059,Truong Tran Phuc,Tin,Male,30/06/2002,374451447
40,20126061,Nguyen Minh,Triet,Male,12/05/2002,404294383
41,20126062,Thieu Vinh,Trung,Male,02/01/2002,444383902
42,20126063,Vo Chi,Tuong,Female,07/10/2002,420888552
43,20126064,Nguyen Phuc,Uyen,Male,04/10/2002,437453391
