No,Student ID,Last name,First name,Gender,Date of Birth,Social ID
1,17127001,Ha Quoc,Anh,Male,9/6/2002,404116192
2,17127003,Hoang Quoc,Bao,Female,18/05/2002,471135080
3,17127004,Huynh Minh,Bao,Male,26/08/2002,468076989
4,17127005,Nguyen Duc,Bao,Female,23/04/2002,400801557
5,17127007,Huynh Minh,Chien,Male,14/05/2002,445991904
6,17127010,Kha Vinh,Dat,Female,9/11/2002,450791430
7,17127011,Le Tan,Dat,Male,15/10/2002,418479362
8,17127013,Dang Nguyen,Duy,Female,14/12/2002,462898019
9,17127015,Tran Quang,Duy,Female,30/01/2002,419128257
10,17127016,Dao Dai,Hai,Male,26/10/2002,383857373
11,17127017,Ngo Gia,Hai,Male,12/4/2002,462914842
12,17127018,Phung Duc,Hai,Male,30/11/2002,381147417
13,17127021,Tran Thu,Hien,Female,29/03/2002,397719588
14,17127023,Tran Minh,Hiep,Female,23/09/2002,416395566
15,17127027,Nguyen Thanh,Hoang,Female,17/10/2002,416460512
16,17127028,Vo Van,Hoang,Female,28/12/2002,437079917
17,17127029,Huynh Manh,Hung,Male,4/4/2002,452258856
18,17127030,Nguyen Manh,Hung,Male,3/8/2002,386644627
19,17127032,Bui Gia,Huy,Female,4/1/2002,413951757
20,17127035,Duong Thanh,Huy,Male,20/02/2002,447049348
21,17127037,Le Nguyen Truong,Huy,Female,10/6/2002,404833042
22,17127038,Nguyen Phuoc Gia,Huy,Female,16/03/2002,386872978
23,17127039,Tran Dam Gia,Huy,Male,25/09/2002,433352055
24,17127040,Truong Gia,Huy,Male,9/6/2002,427561713
25,17127041,Quach Dinh Huy,Thien,Male,25/09/2002,374792960
26,17127042,Bui Minh,Khai,Female,26/07/2002,463847300
27,17127043,Nguyen Thoai Dang,Khoa,Female,29/01/2002,447706568
28,17127044,Tran Ngoc Minh,Khoa,Female,29/05/2002,409991794
29,17127045,Vo Dinh,Khoi,Male,21/06/2002,422049562
30,17127046,Tran Gia,Lac,Female,14/07/2002,414767948
31,17127047,Nguyen Xuan Hoang,Lam,Male,28/10/2002,388274408
32,17127048,Luu Hoang,Minh,Female,14/05/2002,385997326
33,17127049,Nguyen Duc,Minh,Female,16/08/2002,442394421
34,17127050,Nguyen Duc,Minh,Male,2/8/2002,380930193
35,17127052,Vo Cong,Minh,Female,4/7/2002,465209483
36,17127053,Lam Vi,Nguyen,Female,24/04/2002,467461210
37,17127054,Ngo Van Trung,Nguyen,Male,6/12/2002,422979140
38,17127055,Le Minh,Nhan,Male,16/09/2002,418381870
39,17127056,Vo Duy,Nhan,Male,30/06/2002,374451447
40,17127057,Do Tran Minh,Nhat,Male,12/5/2002,404294383
41,17127058,Le Ho Bao,Nhat,Male,2/1/2002,444383902
42,17127060,Nguyen Duy,Nien,Female,7/10/2002,420888552
43,17127061,Luu Minh,Phat,Male,4/10/2002,437453391
44,17127062,Nguyen Khai,Phu,Male,9/6/2002,404116192
45,17127063,Phan Minh,Phuc,Male,18/05/2002,471135080
46,17127064,Nguyen Tran Mai,Phuong,Male,26/08/2002,468076989
47,17127066,Nguyen Nhat,Quan,Male,23/04/2002,400801557
48,17127067,Tran Hong,Quan,Female,14/05/2002,445991904
49,17127068,Ho Minh Thanh,Tai,Male,9/11/2002,450791430
50,17127069,Nguyen Sanh,Tai,Female,15/10/2002,418479362
