No,Student ID,Last name,First name,Gender,Date of Birth,Social ID
1,19120145,Le Dao Duy,Trong,Male,4/6/2001,446844945
2,19120147,Le Anh,Tuan,Male,11/9/2001,615822860
3,19120148,Le Huynh Minh,Tuan,Female,21/05/2001,814681697
4,19120151,Nguyen Tri,Tue,Male,17/12/2001,826786995
5,19120152,Ngo Hoang,Ty,Male,7/7/2001,703271571
6,19120153,Le Doan Phuong,Uyen,Male,30/04/2001,343343817
7,19120154,Nguyen Minh,Uyen,Male,2/8/2001,244374802
8,19120155,Huynh Ngoc,Van,Female,27/05/2001,349209722
9,19120156,Nguyen Thi Hien,Vi,Female,8/7/2001,625898783
10,19120159,Tran Huy,Vu,Female,13/06/2001,653015210
11,19120160,Dam Thi Xuan,Y,Female,29/09/2001,521816844
12,19120161,Nguyen Thanh,An,Male,27/10/2001,745260438
13,19120163,Bui Le Tuan,Anh,Female,6/6/2001,825594741
14,19120167,Tran Dinh Tien,Anh,Male,29/08/2001,665272335
15,19120168,Le Viet,Bach,Female,9/12/2001,416545517
16,19120172,Nguyen Son,Bao,Female,10/7/2001,651320316
17,19120173,Dinh Minh,Bao,Female,16/10/2001,718964531
18,19120175,Truong Quoc,Bao,Female,16/07/2001,303232767
19,19120176,Le Cong,Binh,Male,24/09/2001,758202930
20,19120179,Vo Truong Trung,Chanh,Female,4/7/2001,868890744
21,19120183,Pham Ba,Cuong,Male,16/02/2001,203023049
22,19120186,Do Le Khanh,Dang,Male,15/08/2001,335793404
23,19120189,Le Tien,Dat,Female,9/2/2001,321177632
24,19120190,Nguyen Van,Dat,Female,9/4/2001,346413387
25,19120192,Trinh Quyen,De,Male,14/02/2001,747891734
26,19120193,Lam Kha,Doan,Male,14/11/2001,236426407
27,19120200,Nguyen Tam,Dung,Female,18/12/2001,558731435
28,19120201,Nguyen Tan,Dung,Female,2/9/2001,601711171
29,19120202,Vo Tien,Dung,Female,11/2/2001,601711282
30,19120206,Bui Thanh,Duy,Female,12/2/2001,601711393
31,19120207,Ho Hoang,Duy,Female,13/02/2001,601711504
32,19120212,Vu Cong,Duy,Female,14/02/2001,601711615
33,19120215,Nguyen Hai,Ha,Male,15/02/2001,601711726
34,19120216,Nguyen Thuy Ngoc,Han,Female,16/02/2001,601711837
35,19120217,Tran My,Han,Female,17/02/2001,601711948
36,19120218,Nguyen Xuan,Hanh,Male,18/02/2001,601712059
37,19120219,Ha Chi,Hao,Female,19/02/2001,601712170
38,19120220,Nhieu Gia,Hao,Male,20/02/2001,601712281
39,19120222,Truong Cong,Hau,Female,21/02/2001,601712392
40,19120223,Vo Van,Hau,Female,22/02/2001,601712503
41,19120224,Le Thi Thu,Hien,Male,23/02/2001,601712614
42,19120225,Le Minh,Hien,Female,24/02/2001,601712725
43,19120231,Pham The,Hoa,Female,25/02/2001,601712836
44,19120236,Truong Phu,Hung,Female,26/02/2001,601712947
45,19120237,Nguyen Thanh,Hung,Male,27/02/2001,601713058
46,19120239,Doan Kim,Huy,Female,28/02/2001,601713169
47,19120241,Hoang Minh,Huy,Male,1/3/2001,601713280
48,19120242,Ngo Truong,Huy,Male,2/3/2001,601713391
49,19120245,Truong Quang,Huy,Male,3/3/2001,601713502
50,19120250,Pham Tien,Khai,Female,4/3/2001,601713613
51,19120252,Ha Bao,Khang,Female,5/3/2001,601713724
52,19120253,Truong Nhi,Khang,Male,6/3/2001,601713835
53,19120256,Nguyen Vo Anh,Khoa,Male,7/3/2001,601713946
54,19120257,Pham Anh,Khoa,Male,8/3/2001,601714057
55,19120260,Hoang Tran Thien,Khoi,Male,9/3/2001,601714168
56,19120261,Nguyen Huu,Khoi,Male,10/3/2001,601714279
57,19120266,Nguyen Hoang Anh,Kiet,Female,11/3/2001,601714390
58,19120267,Hoang Duoc,Lam,Male,12/3/2001,601714501
59,19120268,Ngo Dang Gia,Lam,Male,13/03/2001,601714612
60,19120272,Nguyen Si,Liem,Male,14/03/2001,601714723
