No,Student ID,Last name,First name,Gender,Date of Birth,Social ID
1,18127072,Le Vo Huynh,Thanh,Female,14/12/2002,462898019
2,18127078,Nguyen Le Hoang,Thong,Male,30/01/2002,419128257
3,18127082,Lam Thi Xuan,Thy,Male,26/10/2002,383857373
4,18127083,Nguyen Trung,Tin,Female,12/4/2002,462914842
5,18127084,Nguyen Ngoc Bao,Tram,Male,30/11/2002,381147417
6,18127088,Nguyen Thien Hoang,Tri,Female,29/03/2002,397719588
7,18127089,Pham Minh,Triet,Male,23/09/2002,416395566
8,18127090,Le Thanh,Tu,Male,17/10/2002,416460512
9,18127091,Le Trong Anh,Tu,Male,28/12/2002,437079917
10,18127092,Nguyen Minh,Tuan,Male,4/4/2002,452258856
11,18127094,Nguyen Minh,Van,Male,3/8/2002,386644627
12,18127095,Vu Le Trong,Van,Female,4/1/2002,413951757
13,18127097,Tran Quang,Vinh,Male,20/02/2002,447049348
14,18127098,Do Thuy Phuong,Vy,Male,10/6/2002,404833042
15,18127099,Vo Ngoc Khanh,Vy,Female,16/03/2002,386872978
16,18127100,Nguyen Trinh Nhu,Y,Female,25/09/2002,433352055
17,18127101,Bui Ngoc My,An,Male,9/6/2002,427561713
18,18127102,Hoang Huu Minh,An,Female,25/09/2002,374792960
19,18127103,Nguyen Duc,An,Female,26/07/2002,463847300
20,18127104,Truong Thien,An,Male,29/01/2002,447706568
21,18127107,Le Quoc Ky,Anh,Male,29/05/2002,409991794
22,18127110,Phan Huu Doan,Anh,Male,21/06/2002,422049562
23,18127112,Duong Nguyen Gia,Bao,Male,14/07/2002,414767948
24,18127114,Huynh Quoc,Bao,Male,28/10/2002,388274408
25,18127115,Lam Quoc,Bao,Male,14/05/2002,385997326
26,18127116,Nguyen Gia,Bao,Female,16/08/2002,442394421
27,18127117,Nguyen Minh Gia,Bao,Female,2/8/2002,380930193
28,18127118,Nguyen Phuc,Bao,Male,4/7/2002,465209483
29,18127119,Pham Nguyen Gia,Bao,Male,24/04/2002,467461210
30,18127120,Tran Le Hoang,Bao,Male,6/12/2002,422979140
31,18127121,Tran Ngo Gia,Bao,Male,16/09/2002,418381870
32,18127122,Pham Thai,Binh,Female,30/06/2002,374451447
33,18127124,Dang Bao,Chau,Female,12/5/2002,404294383
34,18127125,Nguyen Minh,Chau,Male,2/1/2002,444383902
35,18127128,Pham Vo,Cuong,Female,7/10/2002,420888552
36,18127129,Le Hai,Dang,Female,4/10/2002,437453391
37,18127130,Bui Tien,Dat,Female,2/12/2002,425104832
38,18127131,Nguyen Tuan,Dat,Female,18/03/2002,434828122
39,18127132,Nguyen Van,Dat,Female,27/07/2002,403106723
40,18127133,Nguyen Vu Thanh,Dat,Female,6/12/2002,388096375
41,18127134,Tran Quoc,Dat,Male,28/02/2002,436248447
42,18127135,Tran Huynh Ngoc,Diep,Female,22/06/2002,375165864
43,18127136,Dang Minh,Duc,Female,18/06/2002,379826110
44,18127138,Huynh Minh,Duc,Female,19/12/2002,422612199
45,18127139,Nguyen Viet,Duc,Male,8/8/2002,396265732
46,18127141,Bui Tuan,Dung,Female,20/07/2002,464855721
47,18127142,Le Phi,Duong,Female,22/01/2002,376423028
48,18127143,Pham Giang Thai,Duong,Male,21/09/2002,441131783
49,18127145,Ho Quoc,Duy,Male,24/12/2002,461809505
50,18127146,Le Tuan,Duy,Female,23/09/2002,424605533
