No,Student ID,Last name,First name,Gender,Date of Birth,Social ID
1,17125004,Hoang,Hiep,Male,9/6/2002,404116192
2,17125005,Le Bao,Hiep,Female,18/05/2002,471135080
3,17125006,Nguyen Hoang,Khang,Male,26/08/2002,468076989
4,17125007,Nguyen Vu Dang,Khoa,Female,23/04/2002,400801557
5,17125009,Ta Quang,Khoi,Male,14/05/2002,445991904
6,17125010,Tran Bao,Loi,Female,9/11/2002,450791430
7,17125011,Nguyen Quang,Long,Male,15/10/2002,418479362
8,17125012,Nguyen Duc,Manh,Female,14/12/2002,462898019
9,17125014,Thai Viet,Nhat,Female,30/01/2002,419128257
10,17125015,Nguyen Phong,Phu,Male,26/10/2002,383857373
11,17125017,Nguyen Nham,Tan,Male,12/4/2002,462914842
12,17125019,To Tuan,An,Male,30/11/2002,381147417
13,17125020,Le Quoc,Anh,Female,29/03/2002,397719588
14,17125021,Luong Hoang,Chau,Female,23/09/2002,416395566
15,17125022,Vo Huy,Dang,Female,17/10/2002,416460512
16,17125023,Vu Hoang,Dat,Female,28/12/2002,437079917
17,17125025,Duong Tuan,Dung,Male,4/4/2002,452258856
18,17125027,Phan Minh,Duy,Male,3/8/2002,386644627
19,17125028,Nguyen Nhat,Hao,Female,4/1/2002,413951757
20,17125029,Tu Khai,Hoai,Male,20/02/2002,447049348
21,17125030,Le Minh,Hoang,Female,10/6/2002,404833042
22,17125031,Pham Viet,Hoang,Female,16/03/2002,386872978
23,17125032,Truong Viet,Hoang,Male,25/09/2002,433352055
24,17125033,Le Minh,Huan,Male,9/6/2002,427561713
25,17125034,Vo Bui Phu,Hung,Male,25/09/2002,374792960
26,17125038,Le Nguyen Quang,Minh,Female,26/07/2002,463847300
27,17125039,Tran Minh,Nam,Female,29/01/2002,447706568
28,17125040,Dinh Vo Truc,Ngan,Female,29/05/2002,409991794
29,17125044,Bui Trong,Nhan,Male,21/06/2002,422049562
30,17125046,Huynh Man,Nhu,Female,14/07/2002,414767948
31,17125047,Phan Huynh Tan,Phat,Male,28/10/2002,388274408
32,17125048,Nguyen Hoai Nam,Phuong,Female,14/05/2002,385997326
33,17125049,Nguyen Xuan,Quang,Female,16/08/2002,442394421
34,17125051,Tran Nguyen Dang,Tam,Male,2/8/2002,380930193
35,17125052,Lam Hien,Toan,Female,4/7/2002,465209483
36,17125053,Tran To Bang,Trinh,Female,24/04/2002,467461210
37,17125054,Van Hoang,Yen,Male,6/12/2002,422979140
38,17125055,Truong Nhat,Anh,Male,16/09/2002,418381870
39,17125058,Nguyen Viet,Hung,Male,30/06/2002,374451447
40,17125059,Le Quy,Khoi,Male,12/5/2002,404294383
41,17125060,Dinh My,Ky,Male,2/1/2002,444383902
42,17125061,Nguyen Ha Ngoc,Linh,Female,7/10/2002,420888552
43,17125067,Luong Thien,Tri,Male,4/10/2002,437453391
44,17125068,Thai Vo Duc,Trong,Male,2/12/2002,425104832
45,17125069,Tran Lac,Viet,Female,18/03/2002,434828122
46,17125070,Le Vo Duc,Anh,Male,27/07/2002,403106723
47,17125071,Bui Le Gia,Cat,Female,6/12/2002,388096375
