No,Student ID,Last name,First name,Gender,Date of Birth,Social ID,
1,20126001,Phan Hanh,An,Male,9/6/2002,404116192,17126001
2,20126003,Tran Quang,Minh,Female,18/05/2002,471135080,17126003
3,20126009,Tu Khanh,Duy,Male,26/08/2002,468076989,17126009
4,20126010,Nguyen Thi My,Duyen,Female,23/04/2002,400801557,17126010
5,20126012,Tran Ngoc Thu,Giang,Male,14/05/2002,445991904,17126012
6,20126016,Pham Quang,Huy,Female,9/11/2002,450791430,17126016
7,20126018,Huynh Gia,Khiem,Male,15/10/2002,418479362,17126018
8,20126019,Pham Ho Minh,Khue,Female,14/12/2002,462898019,17126019
9,20126020,Pham Van,Loc,Female,30/01/2002,419128257,17126020
10,20126021,Le Viet,Luc,Male,26/10/2002,383857373,17126021
11,20126023,Duong Dinh,Phuc,Male,12/4/2002,462914842,17126023
12,20126024,Phan Dinh Anh,Quan,Male,30/11/2002,381147417,17126024
13,20126025,Tran Minh,Quan,Female,29/03/2002,397719588,17126025
14,20126029,Tran Dao Xuan,Tri,Female,23/09/2002,416395566,17126029
15,20126030,Tran Tat,Tri,Female,17/10/2002,416460512,17126030
16,20126031,Ha Thi Thanh,Tu,Female,28/12/2002,437079917,17126031
17,20126034,Nguyen Van,Chinh,Male,4/4/2002,452258856,17126034
18,20126036,Pham Thai,Duong,Male,3/8/2002,386644627,17126036
19,20126037,Nguyen Tran Anh,Duy,Female,4/1/2002,413951757,17126037
20,20126038,Nguyen Ho Trung,Hieu,Male,20/02/2002,447049348,17126038
21,20126039,Tran Thien,Khiem,Female,10/6/2002,404833042,17126039
22,20126040,Le Da,Khoa,Female,16/03/2002,386872978,17126040
23,20126041,Nguyen Huynh,Man,Male,25/09/2002,433352055,17126041
24,20126042,Nguyen Thien,Minh,Male,9/6/2002,427561713,17126042
25,20126044,Nguyen Cuong,Nam,Male,25/09/2002,374792960,17126044
26,20126045,Vu Hoai,Nam,Female,26/07/2002,463847300,17126045
27,20126046,Doan Van,Nghi,Female,29/01/2002,447706568,17126046
28,20126047,Luu Minh,Nhat,Female,29/05/2002,409991794,17126047
29,20126048,Nguyen Mong Thanh,Nhi,Male,21/06/2002,422049562,17126048
30,20126049,Nguyen Thanh,Nhon,Female,14/07/2002,414767948,17126049
31,20126050,Ngo Thi Hoang,Oanh,Male,28/10/2002,388274408,17126050
32,20126051,Nguyen Quoc,Phat,Female,14/05/2002,385997326,17126051
33,20126053,Truong Tan,Phong,Female,16/08/2002,442394421,17126053
34,20126054,Cao Minh,Quang,Male,2/8/2002,380930193,17126054
35,20126055,Truong Kim,Tan,Female,4/7/2002,465209483,17126055
36,20126056,Truong Do Truong,Thinh,Female,24/04/2002,467461210,17126056
37,20126057,Nguyen Tran Minh,Thu,Male,6/12/2002,422979140,17126057
38,20126058,Pham Ngoc Anh,Thu,Male,16/09/2002,418381870,17126058
39,20126059,Truong Tran Phuc,Tin,Male,30/06/2002,374451447,17126059
40,20126061,Nguyen Minh,Triet,Male,12/5/2002,404294383,17126061
41,20126062,Thieu Vinh,Trung,Male,2/1/2002,444383902,17126062
42,20126063,Vo Chi,Tuong,Female,7/10/2002,420888552,17126063
43,20126064,Nguyen Phuc,Uyen,Male,4/10/2002,437453391,17126064
