No,Student ID,Last name,First name,Gender,Date of Birth,Social ID
1,20127149,Phan Nguyen Thanh,Duy,Female,10/8/2002,386506079
2,20127153,Mai Tran Gia,Han,Male,12/4/2002,406055723
3,20127154,Nguyen Thi Thanh,Hang,Male,14/12/2002,470882834
4,20127155,Pham Anh,Hao,Male,31/12/2002,381047414
5,20127157,Le Nguyen Chi,Hieu,Male,26/10/2002,428221735
6,20127158,Le Tran Trung,Hieu,Male,20/10/2002,453532730
7,20127159,Nguyen Tan,Hieu,Male,9/5/2002,403062935
8,20127161,Bui Thi Thanh,Hoa,Male,7/3/2002,432564444
9,20127162,Nguyen Son,Hoa,Male,1/6/2002,386799590
10,20127163,Tran Thanh,Hoa,Female,16/06/2002,376662174
11,20127165,Le Van,Hoan,Male,3/1/2002,373230344
12,20127166,Nguyen Huy,Hoan,Male,16/12/2002,403584131
13,20127168,Nguyen Huy,Hoang,Female,12/4/2002,422111813
14,20127169,Pham Huy,Hoang,Male,3/1/2002,429611134
15,20127170,Pham Viet,Hoang,Male,3/5/2002,399891185
16,20127171,Vu Huy,Hoang,Male,17/04/2002,380134791
17,20127172,Truong Quoc,Huan,Female,13/08/2002,447751583
18,20127175,Do Nguyen,Hung,Female,20/09/2002,448983331
19,20127176,Do Tung Gia,Hung,Female,12/3/2002,437030877
20,20127180,Tran Nguyen Long,Hung,Female,21/11/2002,438792466
21,20127182,Bui Le Quang,Huy,Female,28/02/2002,407876409
22,20127184,Ha Huynh Duc,Huy,Male,26/08/2002,436375944
23,20127185,Nguyen Gia,Huy,Male,5/4/2002,431407089
24,20127186,Nguyen Hoang Gia,Huy,Female,14/06/2002,438215036
25,20127188,Nguyen Quoc,Huy,Female,21/04/2002,426866490
26,20127189,Nguyen Quoc,Huy,Male,28/03/2002,380320160
27,20127190,Nguyen Quoc Dang,Huy,Female,2/2/2002,411383377
28,20127192,Tran Anh,Huy,Female,23/08/2002,461962948
29,20127193,Tran Vinh Quoc,Huy,Male,30/10/2002,468267166
30,20127194,Truong Vinh,Huy,Male,27/09/2002,394782543
31,20127195,Luong Gia,Hy,Female,25/01/2002,392799603
32,20127196,Nguyen Dang Tuan,Khai,Male,15/12/2002,403914107
33,20127198,Huynh Truong Minh,Khang,Male,26/01/2002,409775638
34,20127199,Lu Chi,Khang,Male,30/03/2002,460106628
35,20127200,Nguyen Nam,Khang,Male,15/12/2002,398065992
36,20127201,Truong Bao,Khang,Male,9/6/2002,394395247
37,20127202,Vo Minh,Khang,Female,25/10/2002,391345148
38,20127203,Vu Nhat,Khang,Female,2/12/2002,399409637
39,20127204,Nguyen Phuong,Khanh,Female,21/12/2002,422422438
40,20127206,Vu Dinh Duy,Khanh,Female,7/11/2002,445886994
41,20127208,Mai Anh,Khiem,Male,19/06/2002,445055597
42,20127210,Nguyen Ngoc Anh,Khoa,Female,5/8/2002,380835345
43,20127211,Nguyen Tran Dang,Khoa,Male,29/11/2002,394622794
44,20127212,Duong Minh Anh,Khoi,Female,25/04/2002,427067651
45,20127213,Le Dang Minh,Khoi,Male,29/05/2002,405743002
46,20127214,Nguyen Truong Minh,Khoi,Male,30/01/2002,420843838
47,20127217,Nguyen Trung,Kien,Male,23/08/2002,380909874
48,20127218,Bui Dang Tuan,Kiet,Female,21/01/2002,454321915
49,20127219,Bui Tuan,Kiet,Male,8/6/2002,374002383
50,20127223,Nguyen Bui Hoang,Lam,Female,12/12/2002,419367607
