No,Student ID,Last name,First name,Gender,Date of Birth,Social ID
1,18120006,Huynh Gia,Bao,Female,3/14/2000,281931381
2,18120007,Nguyen Vi Tieu,Bao,Female,5/7/2000,712922184
3,18120009,Vuong Gia,Bao,Male,2/24/2000,353747398
4,18120010,Bui Van Ngoc,Chi,Female,10/18/2000,834601258
5,18120014,Dao Thanh,Dat,Female,1/12/2000,379055277
6,18120015,Tran Duy,Dat,Male,8/27/2000,630045664
7,18120017,Lam Hoang,Duc,Female,5/3/2000,844931053
8,18120018,Nguyen Hoang,Duc,Male,11/15/2000,662631930
9,18120019,Nguyen Hoang,Dung,Male,9/2/2000,270734773
10,18120020,Phan Thai,Duong,Male,3/11/2000,260613627
11,18120022,Tran Quang,Duy,Female,9/17/2000,212634868
12,18120023,Nguyen Huy,Hai,Female,5/6/2000,332684178
13,18120026,Phan Gia,Han,Male,1/13/2000,577052040
14,18120027,Nguyen Thi Thu,Hang,Female,5/30/2000,895208808
15,18120029,Bui Tran Hai,Hau,Female,1/5/2000,554348910
16,18120035,Doan Nguyen Tan,Hung,Male,6/22/2000,252791963
17,18120037,Phan Dinh,Huy,Female,4/24/2000,688114804
18,18120039,Nguyen Hoang,Khang,Male,6/18/2000,251806416
19,18120040,Nguyen Dang,Khoa,Female,3/7/2000,599546158
20,18120042,Nguyen Dinh,Khoi,Female,4/15/2000,338805129
21,18120043,Pham Minh,Khoi,Female,9/29/2000,309524602
22,18120045,Ngo Xuan,Kien,Female,6/19/2000,477636480
23,18120046,Duong Anh,Kiet,Male,11/10/2000,661776602
24,18120047,Nguyen Duy Thien,Kim,Male,11/21/2000,733677585
25,18120048,Nguyen Minh,Ky,Male,2/14/2000,685373271
26,18120049,Khuu Thuy,Ky,Male,9/14/2000,244076241
27,18120051,Nguyen Hoang,Lan,Male,10/10/2000,770173348
28,18120052,Le Hanh,Linh,Male,11/21/2000,727299004
29,18120053,Nguyen Thanh,Loc,Female,5/26/2000,330710345
30,18120056,Nguyen Xuan,Mai,Male,6/11/2000,268920544
31,18120058,Pham Cong,Minh,Male,6/5/2000,742508784
32,18120059,Pham Ngoc,Minh,Female,2/13/2000,515183130
33,18120061,Le Nhut,Nam,Female,9/15/2000,267105138
34,18120062,Nguyen Hoang,Nam,Male,4/28/2000,230056609
35,18120064,Tran Thi Tram,Ngan,Male,10/23/2000,747010495
36,18120065,Dinh Nguyen Tan,Nguyen,Female,3/27/2000,542830940
37,18120066,Bui Doan Huu,Nhan,Male,11/3/2000,867893906
38,18120072,Pham Le Hoai,Phuong,Female,9/14/2000,295814281
39,18120073,Tran Anh,Quan,Male,8/19/2000,872453471
40,18120078,Ngo Phu Huu Dai,Son,Male,3/4/2000,578437457
41,18120082,Pham,Tan,Female,11/28/2000,785841841
42,18120085,Nguyen Tan,Thin,Female,3/25/2000,276674422
