No,Student ID,Last name,First name,Gender,Date of Birth,Social ID
1,20120278,Vu Le,Duy,Female,19/10/2002,395728066
2,20120279,Truong Cao Hoang,Gia,Male,13/06/2002,419216300
3,20120281,Ngo Thanh,Hai,Female,21/11/2002,408452672
4,20120283,Huynh Phuc,Hau,Female,27/04/2002,457932246
5,20120284,Le Duc,Hau,Female,8/9/2002,420602821
6,20120288,Nguyen Trung,Hieu,Male,13/11/2002,404861882
7,20120289,Vo Minh,Hieu,Female,26/09/2002,467574710
8,20120290,Tran Khanh,Hoang,Male,5/1/2002,468383882
9,20120291,Ngo Phuc,Hoi,Female,9/11/2002,450726612
10,20120292,Pham Quoc,Hung,Male,8/9/2002,435284464
11,20120293,Vo Phi,Hung,Female,6/12/2002,437339922
12,20120294,Le Cong,Huu,Female,26/07/2002,412173275
13,20120295,Ngo Vo Quang,Huy,Male,13/04/2002,379491955
14,20120297,Nguyen Quang,Huy,Male,4/12/2002,396516097
15,20120298,Pham Bao,Huy,Male,27/05/2002,395610837
16,20120299,Cao Chanh,Khai,Female,8/12/2002,436332974
17,20120300,Tran Dinh,Khai,Male,21/07/2002,423611553
18,20120301,Nguyen Hoang,Khang,Female,3/5/2002,421656427
19,20120302,Nguyen Nhat,Khang,Male,17/12/2002,424848106
20,20120303,Pham Phuc An,Khang,Male,28/11/2002,408625814
21,20120304,Phan Tran,Khanh,Male,3/12/2002,446619899
22,20120305,Vo Thi Kieu,Khanh,Female,11/7/2002,440073176
23,20120306,Luong Huu,Khanh,Male,14/02/2002,470497930
24,20120307,Pham Gia,Khiem,Female,10/8/2002,458183568
25,20120308,Nguyen Hoang Dang,Khoa,Male,13/03/2002,426608122
26,20120310,Tra Nhu,Khuyen,Female,11/11/2002,468016391
27,20120311,Chau,Kiet,Female,19/03/2002,462787778
28,20120312,Le Tan,Kiet,Female,2/12/2002,402371126
29,20120313,Phan Tan,Kiet,Male,7/12/2002,461901082
30,20120314,Vo Tran Anh,Kiet,Male,10/10/2002,392323203
31,20120316,Nguyen Hoang,Lam,Female,28/06/2002,386383922
32,20120318,Nguyen Le My,Linh,Male,3/9/2002,372368793
33,20120319,Phan Duong,Linh,Female,21/01/2002,423942586
34,20120320,Phan Xuan,Loc,Female,23/10/2002,385631071
35,20120322,Dang Thien,Long,Female,3/3/2002,455871620
36,20120323,Nguyen Hoang,Long,Male,9/7/2002,399907318
37,20120324,Nguyen Thanh,Long,Male,22/05/2002,408649478
38,20120325,Ngo Thanh,Luc,Male,25/05/2002,432210565
39,20120326,Phan Phong,Luu,Male,18/04/2002,414523379
40,20120328,Hoang Duc Nhat,Minh,Male,17/07/2002,468377592
41,20120329,Le Quang,Minh,Female,9/3/2002,452039100
42,20120330,Pham Anh,Minh,Male,23/02/2002,423840030
43,20120331,Phan Tai Nhat,Minh,Female,5/6/2002,384969110
44,20120333,Lam Nguyen Ngoc,My,Male,10/6/2002,439167297
45,20120334,Ly Thanh,Nam,Male,16/09/2002,460323260
46,20120335,Cai Huu,Nghia,Female,7/4/2002,430575436
47,20120336,Dam Khanh,Nguyen,Male,28/03/2002,380719753
48,20120338,Le Trung,Nguyen,Female,25/08/2002,468993387
49,20120339,Nguyen Nhat,Nguyen,Male,9/2/2002,398015797
50,20120340,Tran Nhat,Nguyen,Male,21/11/2002,434283171
51,20120341,Phan Thien,Nhan,Female,21/04/2002,378756870
52,20120342,Tran Ky,Nhat,Female,7/10/2002,409950730
53,20120343,Tran Minh,Nhut,Male,31/08/2002,447118236
54,20120344,Vuong Tan,Phat,Male,11/7/2002,434210388
55,20120345,Pham Hoang,Phi,Male,21/10/2002,457112334
56,20120346,Ho Tran Thanh,Phong,Male,31/08/2002,460012183
57,20120347,Luong Vinh,Phu,Female,15/08/2002,388149909
58,20120348,Pham Tran Gia,Phu,Male,30/07/2002,436317064
59,20120349,Ngo Huu,Phuc,Female,26/12/2002,380835988
60,20120350,Nguyen Thi Hong,Phuc,Male,15/07/2002,394573595
61,20120351,Pham Huu,Phuc,Female,4/1/2002,405267020
62,20120352,Vu Hoang,Phuc,Male,17/03/2002,380977432
63,20120353,Huynh Huu,Phuoc,Male,20/11/2002,379358055
64,20120354,Dang Huynh Cuu,Quan,Female,22/07/2002,388941350
65,20120355,Dinh Minh,Quan,Male,30/11/2002,441105703
66,20120356,Le Minh,Quan,Female,20/10/2002,470662935
67,20120357,Nguyen Duc Minh,Quan,Male,9/12/2002,454762889
68,20120359,Nguyen Duc,Quang,Male,25/03/2002,424380479
69,20120360,Nguyen Duy,Quang,Female,30/12/2002,437632877
70,20120364,Pham Phuoc,Sang,Female,14/07/2002,442361457
71,20120365,Le Trung,Son,Male,20/12/2002,429574298
72,20120366,Pham Phu Hoang,Son,Female,14/06/2002,403933997
73,20120367,Ho Khanh,Tam,Male,16/01/2002,468045800
74,20120368,Nguyen Minh,Tam,Male,27/05/2002,418931936
75,20120369,Nguyen Thanh,Tan,Female,1/12/2002,448481057
76,20120370,Trieu Quoc,Thai,Female,16/11/2002,385711003
77,20120371,Vo Minh,Thai,Female,31/12/2002,397541274
78,20120373,Le Truong Kinh,Thanh,Male,15/09/2002,462308319
79,20120375,Cao Thi Phuong,Thao,Male,24/04/2002,398251982
80,20120376,Tran Van,That,Male,29/05/2002,375845318
81,20120380,Nguyen Phuc,Thuan,Male,16/04/2002,386834946
82,20120382,Hoang Thu,Thuy,Male,11/1/2002,426446024
83,20120383,Nguyen Duc,Tien,Female,14/01/2002,457501835
84,20120385,Tran Hoang,Tin,Male,8/3/2002,437589857
85,20120386,Le Phuoc,Toan,Female,23/10/2002,417252690
86,20120388,Nguyen Huynh Ngoc,Tram,Male,22/06/2002,436737586
87,20120389,Nguyen Thi Bich,Tram,Female,25/06/2002,445940318
88,20120390,Vo Huu,Trong,Male,7/2/2002,399007725
89,20120391,Ha Xuan,Truong,Female,5/9/2002,425733990
90,20120392,Pham Thuy Bich,Truyen,Female,2/2/2002,401095555
91,20120393,Huynh Minh,Tu,Male,17/01/2002,388956531
92,20120394,Do Nguyen Dinh,Tuan,Female,9/5/2002,413616826
93,20120395,Nguyen Anh,Tuan,Female,22/07/2002,440023261
94,20120396,Tran Anh,Tuan,Male,7/5/2002,448567844
95,20120397,Bui Quang,Tung,Male,16/01/2002,448939640
96,20120398,Bui Thanh,Tung,Male,5/9/2002,374170101
97,20120399,Dang Vo Hoang Kim,Tuyen,Female,13/10/2002,430032859
